Bruxelles  Ville- Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi
Travaux de Voirie / Wegeniswerken;Marché public de travaux, conclu par procédure négociée directe avec publicité en application de l'article 26 § 2, 1° d) de la loi du 15/06/2006, ayant pour but le réaménagement des trottoirs de la rue de Livourne, rue de la Bonté, rue Blanche, rue de Florence, rue Paul Emile Janson (tronçons compris entre la rue de Livourne et l’avenue Louise) (dossier TV/2014/121/EP).- Dépense supplémentaire.;Overheidsopdracht voor werken, gegund bij vereenvoudigde onderhandelingsprocedure met bekendmaking in toepassing van het artikel 26 § 2, 1° d) van de wet van 15/06/2006, met als voorwerp de heraanleg van de voetpaden van de Livornostraat, de Goedheidsstraat, de Blanchestraat, de Florencestraat, Paul Emile Jansonstraat (gedeelte tussen Livornostraat en Louizalaan) (dossier TV/2014/121/EP).- Meeruitgave.;3/10/2019;Eurovia SA, allée Hof ter Vleest 1, 1070 Bruxelles;135.375,96
Travaux de Voirie / Wegeniswerken;Marché public de travaux, conclu par adjudication ouverte en application des articles 23 et 24 de la loi du 15/06/2006, ayant pour but l’aménagement de sécurité piétonne et cycliste ainsi que l’exécution des mesures de ralentissement de trafic sur le territoire de la ville de Bruxelles, pendant un an (dossier TV/2016/92/EP).- Répétition de travaux similaires en application de l'article 26 § 1, 2°, b) de la loi du 15/06/2006.;Overheidsopdracht voor werken, gegund bij open aanbesteding in toepassing van de artikels 23 en 24 van de wet van 15/06/2006, met als voorwerp de veiligheidsaanleg voor voetgangers en fietsers evenals voor de uitvoering van verkeersremmende maatregelen op het grondgebied van de stad Brussel, gedurende 1 jaar (dossier TV/2016/92/EP).- Herhaling van soortgelijke werken in toepassing van het artikel 26 § 1, 2°, b) van de wet van 15/06/2006.;12/12/2019;Nutons SA, rue des Praules 9, 5030 Gembloux;1.000.000,00
Travaux de Voirie / Wegeniswerken;Marché public de travaux, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016, ayant pour objet la rénovation du bâtiment du département Travaux de Voirie situé rue d'Ophem 45 à 1000 Bruxelles (dossier TV/2017/123).- Dépense supplémentaire et décompte final.;Overheidsopdracht voor werken, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016, met als voorwerp de renovatie van het gebouw van het departement Wegeniswerken gelegen Oppemstraat 45 te 1000 Brussel (dossier TV/2017/123).- Meeruitgave en eindafrekening.;29/08/2019;BRUNOVATION SA, rue de l'Angle 3, 1000 Bruxelles;1.182,86
Travaux de Voirie / Wegeniswerken;Marché public de travaux, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016, ayant pour objet le remplacement des tablettes de culture des serres du complexe horticole de la ville de Bruxelles situé à Sterrebeek (dossier TV/2019/48/EV).;Overheidsopdracht voor werken, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016, met als voorwerp de vervanging van de kweektafels in de serres van de tuinbouwinrichting van de stad Brussel te Sterrebeek (dossier TV/2019/48/EV).;12/12/2019;Mais Automatisering NV, Duffelsesteenweg 135, 2860 Sint-Katelijne-Waver;120.720,25
Travaux de Voirie / Wegeniswerken;Marché public de travaux, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016, ayant pour objet la fourniture, la pose et la réparation de clôtures de divers modèles sur l'ensemble du territoire de la Ville de Bruxelles ou terrains gérés par elle (dossier TV/2019/58/EV).;Overheidsopdracht voor werken, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016, met als voorwerp de levering, de plaatsing en het herstellen van verscheidene modellen van afsluitingen op het grondgebied van de Stad Brussel of de door haar beheerde terreinen (dossier TV/2019/58/EV).;21/11/2019;Entreprises Guisse et Fils SA, rue de Waremme 48, 4530 Villers-Le-Bouillet;116.671,73
Ressources humaines / Human resources;Marché à faible montant - Marché public de services ayant pour but la confection de tickets pour le service social du département HR;Overheidsopdracht van beperkte waarde - Overheidsopdracht voor diensten met het doel, het vervaardinging van tickets voor de sociale dienst van het departement HR;11/07/2019;PARMENTIER;1.524,60
Travaux de Voirie / Wegeniswerken;Marché public de travaux, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016, ayant pour objet toutes les prestations pour la fourniture et le placement d’une quantité présumée de 66 armoires-vestiaires encastrées dans les bâtiments du Département Travaux de Voirie (dossier TV/2019/114/EV).;Overheidsopdracht voor werken, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016, met als voorwerp alle prestaties voor de levering en de plaatsing van een vermoedelijke hoeveelheid van 66 ingebouwde kleedkamerkasten in de gebouwen van het Departement Wegeniswerken (dossier TV/2019/114/EV).;12/12/2019;Loggere Metaalwerken NV, Europastraat 40, 2321 Hoogstraten;56.061,72
Ressources humaines / Human resources;Marché de services à bordereau de prix pour la sélection de candidats pour des fonctions supérieures de management;Overheidsopdracht voor diensten tegen prijslijst met als doel se selectie van kandidaten voor hogere managementfuncties;01/11/2019 (prolongation);Quintessence Consulting S. A.;42.751,96
Travaux de Voirie / Wegeniswerken;Marché public de travaux, conclu par procédure négociée directe avec publication préalable en application de l'article 41 de la loi du 17/06/2016, ayant pour objet le remplacement de la toiture du dépôt situé rue du Mellery 48 à 1020 Bruxelles (dossier TV/2019/125/IO).;Overheidsopdracht voor werken, gegund bij vereenvoudigde onderhandelingsprocedure met voorafgaande bekendmaking in toepassing van het artikel 41 van de wet van 17/06/2016, met als voorwerp de vervanging van het dakwerk van de opslagplaats gelegen Mellerystraat 48 te 1020 Brussel (dossier TV/2019/125/IO).;19/12/2019;Valens SA, avenue Brugmann 27, 1060 Bruxelles;242.174,62
Ressources humaines / Human resources;Marché à faible montant - Marché public de services à bordereau de prix ayant pour but l’organisation de formations à l’utilisation d’une grue sur camion.;Overheidsopdracht van beperkte waarde - Overheidsopdracht met het doel : organisatie van vormingen voor het gebruik van kranen op vrachtwagens;1/04/2019;BI Training asbl;14.530,00
Urbanisme / Stedenbouw;SERVICES études d’espaces publics -  Procédure négociée avec publication préalable;DIENSTEN  Studies openbare ruimten -Vereenvoudigde onderhandelingsprocedure met voorafgaande bekendmaking;28/11/2019;C2 PROJECT, chemin de la Maison du Roi 30D à 1380 Lasne (n° d’entreprise 0831.055. 913);200.000,00
Centrale d'Achats / Aankoopcentrale;Marché public, en 2 lots, de fournitures ayant pour but la fourniture d'excavatrices compactes sur chenilles pour la cellule Zones Vertes du département Travaux de Voirie conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010239).;Overheidsopdracht, in 2 percelen, voor leveringen met het doel de levering van aangedreven minigraafmachines op rupsen voor de cel Groene Zones van het departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010239).;10/01/19;Bia nv - Rameistraat 123 - 3090 Overijse;113.328,60
Urbanisme / Stedenbouw;SERVICE étude de gestion en mobilité Procédure négociée avec publication préalable;DIENSTEN stidies aangaande het beheer mobiliteit  Vereenvoudigde onderhandelingsprocedure met voorafgaande bekendmaking;5/12/2019;STRATEC avenue Adolph Lacomblé 69-71, bt 8 à 1030 Schaerbeek;260,149,88
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 48 mois, de produits à usage unique pour les crèches et prégardiennats conclu par procédure négociée directe avec publicité en application de l'article 26, § 2, 1°, d, de la loi du 15/06/2006 (cahier spécial des charges CDA/007834).-  Dépense supplémentaire.;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 48 maanden, van producten voor eenmalig gebruik voor de kinderdagverblijven en peutertuinen afgesloten via een vereenvoudigde onderhandelingsprocedure met bekendmaking overeenkomstig artikel 26, § 2, 1°, d, van de wet van 15/06/2006 (bestek nr CDA/007834).- Bijkomende bestellingen.;24/01/19;Ontex bvba - Genthof 5 - 9255 Buggenhout;35.000,00
Urbanisme / Stedenbouw;TRAVAUX Réaménagement de la rue Joseph Dupont - Procédure ouverte;WERKEN herinrichting van de Joseph Dupontstraat- Openbare Procedure;12/12/2019;De Kempeneer SA, Zaventemsesteenweg 63 - 1831 Diegem;401.035,61
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 24 mois, de vaisselle de collectivité conclu par procédure négociée sans publicité préalable conclu en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/009739).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 24 maanden, van collectiviteitsvaatwerk afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/009739).;31/01/19;Verre & couvert SPRL - chaussée de Louvain 696 - 1130 Bruxelles;36.978,74
Urbanisme / Stedenbouw;SERVICES Marché public de service de faible montant sur simple facture acceptée : réalisation d’une analyse technique du bâtiment sis 160 boulevard Emile Bockstael avec une budgétisation des travaux à prévoir en vue d’y installer des occupations temporaires -  Cahier spécial des charges n° 2019/PLAN/audit tech. occupation temporaire - Article 92 de la loi du 17/06/2016;DIENSTEN Overheidsopdracht voor aanneming van diensten van beperkte waarde met aanvaarde factuur : opstellen van een technische analyse van het gebouw gelegen op het adres Emile Bockstaellaan 160, de budgettering van de werken die voorzien moeten worden om er een tijdelijke bezetting te vestigen en het opstellen van het bestek voor de uitvoering van deze werken - Bijzonder lastenboek n° 2019/PLAN/audit tech. occupation temporaire - Artikel 92 van de wet van 17/06/2016;3/10/2019;Communa ASBL;3.357,75
Centrale d'Achats / Aankoopcentrale;Marché public de services ayant pour but l'entretien et la réparation en omnium, pendant 48 mois, d'autolaveuses équipant divers départements de la Ville conclu  par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010380).;Overheidsopdracht voor diensten met het doel het onderhouden en herstellen in omnium, gedurende 48 maanden, van schrobautomaten van verschillende departementen van de Stad afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010380).;14/02/19;Nilfisk Advance nv - Tobie Swalusstraat 48 - 1600 Sint-Pieters-Leeuw;39.457,86
Urbanisme / Stedenbouw;"SERVICES Marché public de service de faible montant sur simple facture acceptée : campagne de communication PCDD/Fabrication de 8 roll-up à placer dans le centre administratif et dans les antennes décentralisées de la Ville de
Bruxelles-boîtes - supplément";DIENSTEN Overheidsopdracht voor aanneming van diensten van beperkte waarde met aanvaarde factuur : communicatiecampagne GDOP/Productie van 8 roll-ups die in het administratief centrum en in de gedecentraliseerde kantoren van de Stad Brussel worden geplaatst - supplementen;29/08/2019;Flyer.be;89,32
Centrale d'Achats / Aankoopcentrale;Marché public de services  en 2 lots ayant pour but le nettoyage, pendant 60 mois, des vitres et des châssis des bâtiments communaux conclu par adjudication ouverte en application des articles 23 et 24 de la loi du 15/06/2006 (cahier spécial des charges CDA/007193).- Services supplémentaires.;Overheidsopdracht voor diensten in 2 percelen met het doel het reinigen, gedurende 60 maanden, van de ruiten en de ramen van de gemeentelijke gebouwen afgesloten via open aanbesteding overeenkomstig artikelen 23 en 24 van de wet van 15/06/2006 (bestek CDA/007193).- Bijkomende diensten.;14/03/19;Gom nv - Noorderplaats 7/1 - 2000 Antwerpen;12.531,16
Démographie / Demografie;Marché public de services ayant pour but la réparation de diverses machines de type électro-ménager par le fournisseur, conclu via un marché public de minime importance. Non-application de l’article 60 du Règlement général de la Comptabilité communale en raison de circonstances imprévisibles et impérieuses;Openbare opdracht voor diensten met als doel de reparatie van electro-huishoudelijke machines door de fabriek vastgelegd via een openbare opdracht van geringe omvang. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;31/01/2019;DISTRINOX;1.017,89
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la location d'isoloirs et de cloisons de séparation pour les élections européennes, fédérales et régionales du 26/05/2019 pour le département Démographie  conclu  par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, d, ii, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010392).;Overheidsopdracht voor leveringen tegen prijslijst met het doel het verhuur van stemhokjes en scheidingssystemen voor de europese, federale en regionale verkiezingen van 26/05/2019 voor het departement Demografie  afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, d, ii, van de wet van 17/06/2016 (bestek nr CDA/010392).;21/03/19;Poly-Equipements SARL - chemin du Moulin 6 - 8bis - 91350 Grigny - France;83.187,50
